platform,content,score,user,time,movie_id,clean_content,words,word_count,words_str
豆瓣电影,四星+一星鼓励，值得八分以上的佳作！还有我不理解 看了会睡觉一般是不感兴趣 看了骂依托答辩的都是什么脑回路。美国拍科幻片就能泛滥煽情主旋律，中国就不能是吧。美国就能输出，中国就不能是吧。再说了，我是真没看出来有多主旋律了，要硬说是主旋律的话我认为是人类命运共同体。《星际穿越》可以有亲情，生孩子没问题，到《流浪地球》这就催婚催生了是吧?《星际穿越》里美国人可以拯救全人类，《流浪地球》里中国人就不能拯救世界了是吧?《星际穿越》里可以抛弃一大部分人类，然后一小部分人类放弃地球和太阳系去新星球生存，《流浪地球》就不能有家国情怀，带着剩余一半的人类和地球去寻找新家园是吧?我只能说戴有色眼镜去看总能在鸡蛋里挑出来骨头。当然，上述这些是我好兄弟宸老师（豆瓣可以搜到）以及我亲身经历而有的输出。,5,一堆曲别针,2023-01-22 23:41:49,35267208,四星一星鼓励，值得八分以上的佳作！还有我不理解 看了会睡觉一般是不感兴趣 看了骂依托答辩的都是什么脑回路。美国拍科幻片就能泛滥煽情主旋律，中国就不能是吧。美国就能输出，中国就不能是吧。再说了，我是真没看出来有多主旋律了，要硬说是主旋律的话我认为是人类命运共同体。《星际穿越》可以有亲情，生孩子没问题，到《流浪地球》这就催婚催生了是吧《星际穿越》里美国人可以拯救全人类，《流浪地球》里中国人就不能拯救世界了是吧《星际穿越》里可以抛弃一大部分人类，然后一小部分人类放弃地球和太阳系去新星球生存，《流浪地球》就不能有家国情怀，带着剩余一半的人类和地球去寻找新家园是吧我只能说戴有色眼镜去看总能在鸡蛋里挑出来骨头。当然，上述这些是我好兄弟宸老师（豆瓣可以搜到）以及我亲身经历而有的输出。,"['四星', '一星', '鼓励', '值得', '八分', '以上', '佳作', '理解', '睡觉', '一般', '不感兴趣', '依托', '答辩', '回路', '美国', '科幻片', '泛滥', '煽情', '主旋律', '中国', '不能', '美国', '输出', '中国', '不能', '再说', '出来', '主旋律', '硬说是', '主旋律', '的话', '认为', '人类', '命运', '共同体', '星际', '穿越', '亲情', '孩子', '问题', '流浪', '地球', '催婚', '催生', '星际', '穿越', '美国', '拯救', '全人类', '流浪', '地球', '中国', '不能', '拯救', '世界', '星际', '穿越', '抛弃', '一大部分', '人类', '然后', '一小部分', '人类', '放弃', '地球', '太阳系', '星球', '生存', '流浪', '地球', '不能', '有家国', '情怀', '剩余', '一半', '人类', '地球', '寻找', '新家园', '只能', '有色眼镜', '总能', '鸡蛋里挑', '出来', '骨头', '当然', '上述', '这些', '兄弟', '老师', '豆瓣', '以及', '亲身经历', '输出']",94,四星 一星 鼓励 值得 八分 以上 佳作 理解 睡觉 一般 不感兴趣 依托 答辩 回路 美国 科幻片 泛滥 煽情 主旋律 中国 不能 美国 输出 中国 不能 再说 出来 主旋律 硬说是 主旋律 的话 认为 人类 命运 共同体 星际 穿越 亲情 孩子 问题 流浪 地球 催婚 催生 星际 穿越 美国 拯救 全人类 流浪 地球 中国 不能 拯救 世界 星际 穿越 抛弃 一大部分 人类 然后 一小部分 人类 放弃 地球 太阳系 星球 生存 流浪 地球 不能 有家国 情怀 剩余 一半 人类 地球 寻找 新家园 只能 有色眼镜 总能 鸡蛋里挑 出来 骨头 当然 上述 这些 兄弟 老师 豆瓣 以及 亲身经历 输出
豆瓣电影,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,3,小斑,2023-01-22 16:17:58,35267208,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,"['故事', '冗长', '稀碎', '一样', '完全', '清楚', '全程', '讲解', '旁边', '全程', '讲解', '那段', '这部', '必要', '关于', '生命', '文明', '现实', '虚拟', '标签', '口号', '智性', '讨论', '全程', '一群', '固执', '抗拒', '自然', '任何人', '说服', '甚至', '动摇', '强行', '意志', '支配', '地球', '地球', '所有', '生命', '称之为', '勇气', '前脚', '感叹', '人类', '最强', '密码', '互相攻击', '武器', '后腿', '人类', '分成', '我们', '你们', '一面', '想当', '老大', '我们', '你们', '其他', '任何人', '正确', '伟大光荣', '我们', '一面', '装和气', '我们', '全人类', '考虑', '我们', '伟大光荣', '正确', '决策', '造成', '后果', '承担责任', '不是', '强霸', '片刻', '制造', '这种', '自我', '矛盾', '好笑']",83,故事 冗长 稀碎 一样 完全 清楚 全程 讲解 旁边 全程 讲解 那段 这部 必要 关于 生命 文明 现实 虚拟 标签 口号 智性 讨论 全程 一群 固执 抗拒 自然 任何人 说服 甚至 动摇 强行 意志 支配 地球 地球 所有 生命 称之为 勇气 前脚 感叹 人类 最强 密码 互相攻击 武器 后腿 人类 分成 我们 你们 一面 想当 老大 我们 你们 其他 任何人 正确 伟大光荣 我们 一面 装和气 我们 全人类 考虑 我们 伟大光荣 正确 决策 造成 后果 承担责任 不是 强霸 片刻 制造 这种 自我 矛盾 好笑
豆瓣电影,不要破坏太空电梯！我以后要坐的！,5,Exodus,2023-01-23 19:23:03,35267208,不要破坏太空电梯！我以后要坐的！,"['不要', '破坏', '太空', '电梯', '以后']",5,不要 破坏 太空 电梯 以后
豆瓣电影,照古人的月亮将要毁灭今人，进化后的系统阻挡人类存续。人类制造复杂的密码用于相互毁灭，也诞生伟大的文明用于股骨愈合。宇宙里的小小白点是我们的一切，移山让人类的未来有了方向，科技却让数字的生命成为了可能。我们要活在电缆里荧屏中让意识自主永恒，还是心怀蓝天让躯体等到鲜花挂满枝头的瞬间。,5,西楼尘,2023-01-22 13:30:14,35267208,照古人的月亮将要毁灭今人，进化后的系统阻挡人类存续。人类制造复杂的密码用于相互毁灭，也诞生伟大的文明用于股骨愈合。宇宙里的小小白点是我们的一切，移山让人类的未来有了方向，科技却让数字的生命成为了可能。我们要活在电缆里荧屏中让意识自主永恒，还是心怀蓝天让躯体等到鲜花挂满枝头的瞬间。,"['古人', '月亮', '将要', '毁灭', '今人', '进化', '系统', '阻挡', '人类', '存续', '人类', '制造', '复杂', '密码', '用于', '相互', '毁灭', '诞生', '伟大', '文明', '用于', '股骨', '愈合', '宇宙', '小小白', '我们', '一切', '移山', '人类', '未来', '方向', '科技', '数字', '生命', '成为', '可能', '我们', '要活', '电缆', '荧屏', '意识', '自主', '永恒', '心怀', '蓝天', '躯体', '等到', '鲜花', '挂满', '枝头', '瞬间']",51,古人 月亮 将要 毁灭 今人 进化 系统 阻挡 人类 存续 人类 制造 复杂 密码 用于 相互 毁灭 诞生 伟大 文明 用于 股骨 愈合 宇宙 小小白 我们 一切 移山 人类 未来 方向 科技 数字 生命 成为 可能 我们 要活 电缆 荧屏 意识 自主 永恒 心怀 蓝天 躯体 等到 鲜花 挂满 枝头 瞬间
豆瓣电影,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,4,特凡人,2023-01-22 13:25:43,35267208,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,"['看到', '沙溢', '扮演', '师傅', '五十岁', '以上', '出列时', '忍不住', '落泪']",9,看到 沙溢 扮演 师傅 五十岁 以上 出列时 忍不住 落泪
豆瓣电影,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,3,michaelz,2023-01-23 16:06:46,35267208,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,"['预期', '纪录片', '情节', '平淡', '佩服', '李雪健', '屁事', '情况', '知道', '信心', '最足', '信念', '坚定', '决定', '玩完']",15,预期 纪录片 情节 平淡 佩服 李雪健 屁事 情况 知道 信心 最足 信念 坚定 决定 玩完
豆瓣电影,我的建议是，把网络服务中心迁移到高原上来,4,momo,2023-01-22 23:38:29,35267208,我的建议是，把网络服务中心迁移到高原上来,"['建议', '网络', '服务中心', '迁移', '高原', '上来']",6,建议 网络 服务中心 迁移 高原 上来
豆瓣电影,刚看完，特效国产最顶，故事情节也好，演员全部演的好,5,听见你的声音,2023-01-22 11:56:54,35267208,刚看完，特效国产最顶，故事情节也好，演员全部演的好,"['刚看', '特效', '国产', '最顶', '故事情节', '也好', '演员', '全部']",8,刚看 特效 国产 最顶 故事情节 也好 演员 全部
豆瓣电影,笨笨  你是条军犬！,4,漂亮宝贝不干了,2023-01-22 20:58:51,35267208,笨笨 你是条军犬！,"['笨笨', '军犬']",2,笨笨 军犬
豆瓣电影,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,3,michaelz,2023-01-23 16:06:46,35267208,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,"['预期', '纪录片', '情节', '平淡', '佩服', '李雪健', '屁事', '情况', '知道', '信心', '最足', '信念', '坚定', '决定', '玩完']",15,预期 纪录片 情节 平淡 佩服 李雪健 屁事 情况 知道 信心 最足 信念 坚定 决定 玩完
豆瓣电影,建议前面一小时一剪没。,4,麻薯奶油波波兔,2023-01-23 12:15:10,35267208,建议前面一小时一剪没。,"['建议', '前面', '小时', '一剪']",4,建议 前面 小时 一剪
豆瓣电影,比第一部的视野磅礴，有更加深入的思考，尤其是刘德华的那条数字生命计划线，也是为第三部埋下的彩蛋。特别不喜欢李雪健最后点火时的迷之自信和沙溢的50岁以上出列，充斥着强烈的自我感动和群体绑架。最喜欢的人物是宁理的马兆，代表理性之光，只有在他那里，人类存在的意义和人类之于万物的地位才是最理性的。,4,影随茵动,2023-01-24 23:20:34,35267208,比第一部的视野磅礴，有更加深入的思考，尤其是刘德华的那条数字生命计划线，也是为第三部埋下的彩蛋。特别不喜欢李雪健最后点火时的迷之自信和沙溢的岁以上出列，充斥着强烈的自我感动和群体绑架。最喜欢的人物是宁理的马兆，代表理性之光，只有在他那里，人类存在的意义和人类之于万物的地位才是最理性的。,"['第一部', '视野', '磅礴', '更加', '深入', '思考', '尤其', '刘德华', '那条', '数字', '生命', '计划', '第三部', '埋下', '彩蛋', '特别', '喜欢', '李雪健', '最后', '点火', '自信', '沙溢', '以上', '充斥', '强烈', '自我', '感动', '群体', '绑架', '喜欢', '人物', '宁理', '马兆', '代表', '理性', '之光', '那里', '人类', '存在', '意义', '人类', '万物', '地位', '理性']",44,第一部 视野 磅礴 更加 深入 思考 尤其 刘德华 那条 数字 生命 计划 第三部 埋下 彩蛋 特别 喜欢 李雪健 最后 点火 自信 沙溢 以上 充斥 强烈 自我 感动 群体 绑架 喜欢 人物 宁理 马兆 代表 理性 之光 那里 人类 存在 意义 人类 万物 地位 理性
豆瓣电影,绝对是亚洲科幻大片第一档，但娱乐性上跟好莱坞还是有差距。虽然这些年好莱坞的大片难看在故事越讲越小，任你宇宙爆炸也是拍家人和解，但这部又过于宏大叙事，情感上动人的点太少了,4,根,2023-01-26 00:44:47,35267208,绝对是亚洲科幻大片第一档，但娱乐性上跟好莱坞还是有差距。虽然这些年好莱坞的大片难看在故事越讲越小，任你宇宙爆炸也是拍家人和解，但这部又过于宏大叙事，情感上动人的点太少了,"['绝对', '亚洲', '科幻', '大片', '第一', '娱乐性', '好莱坞', '差距', '虽然', '这些', '好莱坞', '大片', '难看', '故事', '宇宙', '爆炸', '家人', '和解', '这部', '过于', '宏大', '叙事', '情感', '动人', '太少']",25,绝对 亚洲 科幻 大片 第一 娱乐性 好莱坞 差距 虽然 这些 好莱坞 大片 难看 故事 宇宙 爆炸 家人 和解 这部 过于 宏大 叙事 情感 动人 太少
豆瓣电影,"75分。
特效顶级，但是但凡多花1000万在编剧上，故事也不至于碎成这样。这剧本我真的敢说“我行我上”，方方正正，刚直不阿，一块是一块，互相都不粘连。跟旅行vlog一样，你看这里是太空电梯，你看这里是刘培强结婚，你看这里是月球危机，你看这是我们的互联网基地……每个感动的点我都知道导演要感动，但我始终入不了戏，不敢动。隔壁《满江红》有个热评，说“感动你的不是电影，而是满江红这首词”，《球2》也可以套用这个评论：“感动你的不是电影，而是中国的伟大崛起”。",4,蔡小马,2023-01-25 23:19:03,35267208,分。 特效顶级，但是但凡多花万在编剧上，故事也不至于碎成这样。这剧本我真的敢说我行我上，方方正正，刚直不阿，一块是一块，互相都不粘连。跟旅行vlog一样，你看这里是太空电梯，你看这里是刘培强结婚，你看这里是月球危机，你看这是我们的互联网基地每个感动的点我都知道导演要感动，但我始终入不了戏，不敢动。隔壁《满江红》有个热评，说感动你的不是电影，而是满江红这首词，《球》也可以套用这个评论：感动你的不是电影，而是中国的伟大崛起。,"['特效', '顶级', '但凡', '多花', '编剧', '故事', '不至于', '碎成', '剧本', '真的', '我行', '方方正正', '刚直不阿', '一块', '一块', '互相', '粘连', '旅行', 'vlog', '一样', '这里', '太空', '电梯', '这里', '刘培强', '结婚', '这里', '月球', '危机', '我们', '互联网', '基地', '每个', '感动', '知道', '导演', '感动', '始终', '不了', '不敢', '隔壁', '满江红', '有个', '热评', '感动', '不是', '电影', '而是', '满江红', '这首词', '套用', '这个', '评论', '感动', '不是', '电影', '而是', '中国', '伟大', '崛起']",60,特效 顶级 但凡 多花 编剧 故事 不至于 碎成 剧本 真的 我行 方方正正 刚直不阿 一块 一块 互相 粘连 旅行 vlog 一样 这里 太空 电梯 这里 刘培强 结婚 这里 月球 危机 我们 互联网 基地 每个 感动 知道 导演 感动 始终 不了 不敢 隔壁 满江红 有个 热评 感动 不是 电影 而是 满江红 这首词 套用 这个 评论 感动 不是 电影 而是 中国 伟大 崛起
豆瓣电影,感谢罗兰·艾默里奇的好兄弟郭帆为我们奉上的《月球陨落》姊妹篇，请让我代表全人类向剧组致敬，献上比《月球陨落》多一星的敬意 p.s. 真的有人觉得这特效是进步了吗 p.p.s. 现在看完半个小时我已经忘了发生了些啥？,1,圆首的秘书,2023-01-22 23:40:47,35267208,感谢罗兰艾默里奇的好兄弟郭帆为我们奉上的《月球陨落》姊妹篇，请让我代表全人类向剧组致敬，献上比《月球陨落》多一星的敬意 ps 真的有人觉得这特效是进步了吗 pps 现在看完半个小时我已经忘了发生了些啥？,"['感谢', '罗兰', '艾默里', '兄弟', '郭帆', '我们', '奉上', '月球', '陨落', '姊妹篇', '代表', '全人类', '剧组', '致敬', '献上', '月球', '陨落', '多一星', '敬意', 'ps', '真的', '有人', '觉得', '特效', '进步', 'pps', '现在', '半个', '小时', '已经', '发生']",31,感谢 罗兰 艾默里 兄弟 郭帆 我们 奉上 月球 陨落 姊妹篇 代表 全人类 剧组 致敬 献上 月球 陨落 多一星 敬意 ps 真的 有人 觉得 特效 进步 pps 现在 半个 小时 已经 发生
豆瓣电影,照古人的月亮将要毁灭今人，进化后的系统阻挡人类存续。人类制造复杂的密码用于相互毁灭，也诞生伟大的文明用于股骨愈合。宇宙里的小小白点是我们的一切，移山让人类的未来有了方向，科技却让数字的生命成为了可能。我们要活在电缆里荧屏中让意识自主永恒，还是心怀蓝天让躯体等到鲜花挂满枝头的瞬间。,5,西楼尘,2023-01-22 13:30:14,35267208,照古人的月亮将要毁灭今人，进化后的系统阻挡人类存续。人类制造复杂的密码用于相互毁灭，也诞生伟大的文明用于股骨愈合。宇宙里的小小白点是我们的一切，移山让人类的未来有了方向，科技却让数字的生命成为了可能。我们要活在电缆里荧屏中让意识自主永恒，还是心怀蓝天让躯体等到鲜花挂满枝头的瞬间。,"['古人', '月亮', '将要', '毁灭', '今人', '进化', '系统', '阻挡', '人类', '存续', '人类', '制造', '复杂', '密码', '用于', '相互', '毁灭', '诞生', '伟大', '文明', '用于', '股骨', '愈合', '宇宙', '小小白', '我们', '一切', '移山', '人类', '未来', '方向', '科技', '数字', '生命', '成为', '可能', '我们', '要活', '电缆', '荧屏', '意识', '自主', '永恒', '心怀', '蓝天', '躯体', '等到', '鲜花', '挂满', '枝头', '瞬间']",51,古人 月亮 将要 毁灭 今人 进化 系统 阻挡 人类 存续 人类 制造 复杂 密码 用于 相互 毁灭 诞生 伟大 文明 用于 股骨 愈合 宇宙 小小白 我们 一切 移山 人类 未来 方向 科技 数字 生命 成为 可能 我们 要活 电缆 荧屏 意识 自主 永恒 心怀 蓝天 躯体 等到 鲜花 挂满 枝头 瞬间
豆瓣电影,刚看完，特效国产最顶，故事情节也好，演员全部演的好,5,听见你的声音,2023-01-22 11:56:54,35267208,刚看完，特效国产最顶，故事情节也好，演员全部演的好,"['刚看', '特效', '国产', '最顶', '故事情节', '也好', '演员', '全部']",8,刚看 特效 国产 最顶 故事情节 也好 演员 全部
